"date","AQI"
"2016-09-24",207
"2016-09-25",265
"2016-09-26",124
"2016-09-27",111
"2016-09-28",23
"2016-09-29",66
"2016-09-30",115
"2016-10-01",177
"2016-10-02",253
"2016-10-03",181
"2016-10-04",170
"2016-10-05",54
"2016-10-06",117
"2016-10-07",63
"2016-10-08",16
"2016-10-09",54
"2016-10-10",69
"2016-10-11",181
"2016-10-12",75
"2016-10-13",157
"2016-10-14",263
"2016-10-15",300
"2016-10-16",221
"2016-10-17",156
"2016-10-18",132
"2016-10-19",236
"2016-10-20",276
"2016-10-21",53
"2016-10-22",42
"2016-10-23",40
"2016-10-24",70
"2016-10-25",116
"2016-10-26",158
"2016-10-27",64
"2016-10-28",26
"2016-10-29",52
"2016-10-30",71
"2016-10-31",28
"2016-11-01",39
"2016-11-02",114
"2016-11-03",184
"2016-11-04",290
"2016-11-05",258
"2016-11-06",171
"2016-11-07",138
"2016-11-08",21
"2016-11-09",113
"2016-11-10",NA
"2016-11-11",64
"2016-11-12",92
"2016-11-13",75
"2016-11-14",206
"2016-11-15",26
"2016-11-16",167
"2016-11-17",205
"2016-11-18",206
"2016-11-19",263
"2016-11-20",135
"2016-11-21",16
"2016-11-22",29
"2016-11-23",21
"2016-11-24",26
"2016-11-25",206
"2016-11-26",341
"2016-11-27",330
"2016-11-28",40
"2016-11-29",114
"2016-11-30",141
"2016-12-01",28
"2016-12-02",126
"2016-12-03",209
"2016-12-04",435
"2016-12-05",247
"2016-12-06",51
"2016-12-07",188
"2016-12-08",240
"2016-12-09",29
"2016-12-10",74
"2016-12-11",132
"2016-12-12",278
"2016-12-13",252
"2016-12-14",16
"2016-12-15",99
"2016-12-16",86
"2016-12-17",199
"2016-12-18",313
"2016-12-19",282
"2016-12-20",374
"2016-12-21",428
"2016-12-22",431
"2016-12-23",30
"2016-12-24",103
"2016-12-25",219
"2016-12-26",222
"2016-12-27",21
"2016-12-28",171
"2016-12-29",22
"2016-12-30",321
"2016-12-31",315
"2017-01-01",451
"2017-01-02",373
"2017-01-03",295
"2017-01-04",500
"2017-01-05",315
"2017-01-06",235
"2017-01-07",272
"2017-01-08",177
"2017-01-09",26
"2017-01-10",88
"2017-01-11",86
"2017-01-12",35
"2017-01-13",24
"2017-01-14",26
"2017-01-15",61
"2017-01-16",120
"2017-01-17",156
"2017-01-18",122
"2017-01-19",98
"2017-01-20",33
"2017-01-21",96
"2017-01-22",29
"2017-01-23",40
"2017-01-24",117
"2017-01-25",200
"2017-01-26",303
"2017-01-27",36
"2017-01-28",385
"2017-01-29",307
"2017-01-30",34
"2017-01-31",106
"2017-02-01",29
"2017-02-02",168
"2017-02-03",191
"2017-02-04",336
"2017-02-05",26
"2017-02-06",37
"2017-02-07",67
"2017-02-08",139
"2017-02-09",38
"2017-02-10",38
"2017-02-11",34
"2017-02-12",240
"2017-02-13",188
"2017-02-14",202
"2017-02-15",294
"2017-02-16",316
"2017-02-17",35
"2017-02-18",82
"2017-02-19",171
"2017-02-20",41
"2017-02-21",59
"2017-02-22",93
"2017-02-23",37
"2017-02-24",65
"2017-02-25",29
"2017-02-26",34
"2017-02-27",76
"2017-02-28",65
"2017-03-01",36
"2017-03-02",41
"2017-03-03",106
"2017-03-04",71
