"date","AQI"
"2017-01-27",209
"2017-01-28",324
"2017-01-29",343
"2017-01-30",300
"2017-01-31",354
"2017-02-01",500
"2017-02-02",379
"2017-02-03",371
"2017-02-04",263
"2017-02-05",108
"2017-02-06",97
"2017-02-07",147
"2017-02-08",160
"2017-02-09",119
"2017-02-10",312
"2017-02-11",346
"2017-02-12",265
"2017-02-13",238
"2017-02-14",350
"2017-02-15",394
"2017-02-16",297
"2017-02-17",330
"2017-02-18",211
"2017-02-19",221
"2017-02-20",36
"2017-02-21",80
"2017-02-22",135
"2017-02-23",177
"2017-02-24",170
"2017-02-25",219
"2017-02-26",340
"2017-02-27",500
"2017-02-28",321
"2017-03-01",332
"2017-03-02",189
"2017-03-03",307
"2017-03-04",143
